id,first_name,last_name,age_group,gender,urban_rural,marital_status,education,religion,party,canton
4064,Joachim,Eder,60-69,m,urban,married,tertiary,catholic,FDP-Liberale,ZG
4212,Thomas,Egger,50-59,m,urban,single,tertiary,catholic,CSPO,VS
3875,Corina,Eichenberger-Walther,60-69,f,periurban,widowed,tertiary,protestant,FDP-Liberale,AG
4055,Stefan,Engler,50-59,m,urban,married,tertiary,catholic,CVP,GR
4206,Erich,Ettlin,50-59,m,rural,married,tertiary,catholic,CVP,OW
74,Christoph,Eymann,60-69,m,big_city,married,tertiary,protestant,LDP,BS
4056,Daniel,Fässler,50-59,m,periurban,married,tertiary,catholic,CVP,AI
4059,Beat,Flach,50-59,m,periurban,married,tertiary,protestant,glp,AG
1122,Kurt,Fluri,60-69,m,urban,married,tertiary,undenominational,FDP-Liberale,SO
321,Peter,Föhn,60-69,m,periurban,married,secondary,catholic,SVP,SZ
4042,Sebastian,Frehner,40-49,m,big_city,married,tertiary,protestant,SVP,BS
4074,Pierre-Alain,Fridez,60-69,m,urban,married,tertiary,catholic,SP,JU
3880,Andrea Martina,Geissbühler,40-49,f,urban,married,secondary,protestant,SVP,BE
825,Hannes,Germann,60-69,m,periurban,married,secondary,protestant,SVP,SH
3883,Alice,Glauser-Zufferey,60-69,f,rural,married,secondary,catholic,SVP,VD
4181,Andrea,Gmür-Schönenberger,50-59,f,big_city,married,tertiary,catholic,CVP,LU
4137,Roger,Golay,50-59,m,urban,married,tertiary,protestant,MCG,GE
1295,Edith,Graf-Litscher,50-59,f,urban,married,secondary,protestant,SP,TG
4083,Jürg,Grossen,40-49,m,periurban,married,secondary,protestant,glp,BE
3886,Hans,Grunder,60-69,m,rural,married,tertiary,protestant,BDP,BE
4087,Jean-Paul,Gschwind,60-69,m,rural,married,tertiary,catholic,CVP,JU
4214,Niklaus-Samuel,Gugger,40-49,m,big_city,married,tertiary,protestant,EVP,ZH
4082,Bernhard,Guhl,40-49,m,periurban,married,tertiary,protestant,BDP,AG
4216,Diana,Gutjahr,30-39,f,urban,married,tertiary,protestant,SVP,TG
4121,Barbara,Gysi,50-59,f,urban,single,tertiary,undenominational,SP,SG
4076,Philipp,Hadorn,50-59,m,urban,married,tertiary,other_religion,SP,SO
4061,Thomas,Hardegger,60-69,m,periurban,single,tertiary,catholic,SP,ZH
4103,Markus,Hausammann,50-59,m,rural,married,tertiary,protestant,SVP,TG
4153,Peter,Hegglin,50-59,m,periurban,married,tertiary,catholic,CVP,ZG
1156,Bea,Heim,above 70,f,urban,married,tertiary,catholic,SP,SO
4129,Verena,Herzog,60-69,f,urban,married,tertiary,protestant,SVP,TG
4094,Lorenz,Hess,50-59,m,urban,married,tertiary,protestant,BDP,BE
3888,Hugues,Hiltpold,50-59,m,urban,married,tertiary,protestant,FDP-Liberale,GE
1071,Ruth,Humbel,60-69,f,periurban,married,tertiary,catholic,CVP,AG
3890,Thomas,Hurter,50-59,m,urban,married,tertiary,protestant,SVP,SH
4164,Christian,Imark,30-39,m,periurban,married,secondary,catholic,SVP,SO
477,Claude,Janiak,above 70,m,urban,partnership,tertiary,undenominational,SP,BL
4208,Matthias Samuel,Jauslin,50-59,m,urban,married,tertiary,protestant,FDP-Liberale,AG
4218,Irène,Kälin,30-39,f,periurban,single,tertiary,undenominational,GPS,AG
4165,Barbara,Keller-Inhelder,50-59,f,urban,married,tertiary,protestant,SVP,SG
1147,Margret,Kiener Nellen,60-69,f,urban,married,tertiary,protestant,SP,BE
4114,Hansjörg,Knecht,50-59,m,rural,married,tertiary,catholic,SVP,AG
1162,Alex,Kuprecht,60-69,m,periurban,married,tertiary,catholic,SVP,SZ
4225,Philipp,Kutter,40-49,m,urban,married,tertiary,catholic,CVP,ZH
4008,Martin,Landolt,50-59,m,urban,divorced,tertiary,catholic,BDP,GL
1150,Christian,Levrat,40-49,m,urban,married,tertiary,catholic,SP,FR
4118,Christian,Lohr,50-59,m,urban,single,tertiary,protestant,CVP,TG
3918,Werner,Luginbühl,60-69,m,periurban,married,unknown,protestant,BDP,BE
4018,Jacques-André,Maire,60-69,m,rural,married,tertiary,protestant,SP,NE
4183,Géraldine,Marchand-Balet,40-49,f,urban,married,tertiary,catholic,CVP,VS
1139,Christa,Markwalder,40-49,f,urban,divorced,tertiary,catholic,FDP-Liberale,BE
341,Liliane,Maury Pasquier,60-69,f,big_city,married,tertiary,catholic,SP,GE
4198,Mattea,Meyer,30-39,f,big_city,single,tertiary,undenominational,SP,ZH
4112,Thomas,Minder,50-59,m,urban,single,tertiary,protestant,-,SH
3897,Tiana Angelina,Moser,40-49,f,big_city,married,tertiary,protestant,glp,ZH
1137,Walter,Müller,above 70,m,rural,married,secondary,protestant,FDP-Liberale,SG
1141,Philipp,Müller,60-69,m,rural,married,secondary,undenominational,FDP-Liberale,AG
1345,Thomas,Müller,60-69,m,urban,married,tertiary,catholic,SVP,SG
4097,Leo,Müller,60-69,m,periurban,married,tertiary,catholic,CVP,LU
4207,Damian,Müller,30-39,m,periurban,single,secondary,catholic,FDP-Liberale,LU
4063,Stefan,Müller-Altermatt,40-49,m,rural,married,tertiary,catholic,CVP,SO
4134,Martina,Munz,60-69,f,rural,married,tertiary,protestant,SP,SH
1111,Felix,Müri,60-69,m,urban,married,secondary,catholic,SVP,LU
4193,Philippe,Nantermod,30-39,m,urban,married,tertiary,catholic,FDP-Liberale,VS
1279,Roger,Nordmann,40-49,m,big_city,married,tertiary,undenominational,SP,VD
3899,Eric,Nussbaumer,50-59,m,urban,married,tertiary,other_religion,SP,BL
4169,Pierre-André,Page,50-59,m,rural,married,secondary,catholic,SVP,FR
4045,Corrado,Pardini,50-59,m,urban,married,secondary,catholic,SP,BE
4084,Bruno,Pezzatti,60-69,m,periurban,married,tertiary,catholic,FDP-Liberale,ZG
1109,Gerhard,Pfister,50-59,m,urban,married,tertiary,catholic,CVP,ZG
4065,Nadja,Pieren,30-39,f,rural,single,tertiary,protestant,SVP,BE
4109,Valérie,Piller Carrard,40-49,f,rural,married,secondary,catholic,SP,FR
4066,Rosmarie,Quadranti,60-69,f,urban,widowed,secondary,protestant,BDP,ZH
4046,Lorenzo,Quadri,40-49,m,big_city,single,tertiary,catholic,Lega,TI
4072,Fabio,Regazzi,50-59,m,periurban,single,tertiary,catholic,CVP,TI
3901,Lukas,Reimann,30-39,m,urban,single,tertiary,catholic,SVP,SG
4091,Mathias,Reynard,30-39,m,urban,single,tertiary,catholic,SP,VS
